week,date_range,youtube_video_views,youtube_unique_reach,social_video_views,landing_visits,downloads,new_emails,carousel_saves,carousel_shares,newsletter_opens,newsletter_clicks,survey_responses,course_inquiries,top_asset,learning,next_action
Launch,"2026-06-08 - 2026-06-14",,,,,,,,,,,,,,,
Week 2,"2026-06-15 - 2026-06-21",,,,,,,,,,,,,,,
Week 3,"2026-06-22 - 2026-06-28",,,,,,,,,,,,,,,
Week 4,"2026-06-29 - 2026-07-05",,,,,,,,,,,,,,,
Post-campaign,"2026-07-06 - 2026-07-12",,,,,,,,,,,,,,,
CAMPAIGN TARGET,,500,500,700,,,,,,,,,,,,,
